x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
203246_s_at,'PCGF2',na,776.3,571,605.1,628.7,767.4,577
203247_s_at,'CDC42BPA',na,324.6,365.9,299.4,408.8,328.6,344.8
203250_at,'CD302 /// LY75-CD302',na,808.5,884.3,861.5,778.2,782.2,676.3
203252_at,'MRPS14',na,582.6,647.2,597.4,504.1,594.4,557.1
203253_s_at,'MRPS14',na,509.8,414.6,554.4,523.7,493.2,702.9
203254_s_at,'NSUN5',na,639.9,495.1,586.9,461.9,440.3,600.2
203255_at,'PCYOX1',na,284.2,389.6,333.5,279.8,249.3,268.2
203257_s_at,'LUC7L3',na,617.3,748.9,656.4,678.3,755.1,456.2
203258_at,'AKT2',na,2707.5,3095.3,2606.4,3482.9,3073.6,1575.7
203259_s_at,'DNAJB4',na,961.8,975.8,1086,803.9,815,1102.1
203261_at,'NQO2',na,1044.1,1012.2,1249.4,1640.9,1698.5,1187.2
203262_s_at,'DGUOK',na,1754.3,1853.7,1888.3,1997.2,2015.1,1910.4
203265_s_at,'GUCY1B3',na,379.3,389.5,293.1,297.6,256,288.5
203266_s_at,'SF3A3',na,745.4,691.1,560.5,558.7,551.8,507.9
203267_s_at,'IGF2BP3',na,605.9,599.6,516.2,628.6,696.1,562.5
203269_at,'IGF2BP3',na,618.3,573.7,841.4,677.6,769.8,766.3
203270_at,'HBEGF',na,984.9,874.5,980.8,1267.6,1243.1,1189.3
203272_s_at,'ELF2',na,691.5,861.3,913.9,773.6,888.3,597
203273_s_at,'RGS3',na,452.5,473.7,397.2,351.1,447.8,345
203274_at,'BRD3',na,1876.2,2411.1,1856,2305.3,1723.5,2564.3
203275_at,'WIPI1',na,469.1,393.9,417.8,351.9,320.7,295.9
203276_at,'ELP4',na,958.5,883.3,920.3,864.5,1036,1285.4
203277_at,'C17orf75',na,623.4,621.3,685.9,683.8,575.3,754.6
203279_at,'R3HDM2',na,550.1,659,517.3,456.3,456.2,474.3
203282_at,'SNRPF',na,2481.2,2215.4,2657.1,2889.4,3014.9,2582.2
203283_s_at,'TGOLN2',na,186.8,180.9,138.9,143.2,75.2,197.4
203284_s_at,'TGOLN2',na,628.8,576.2,341.4,311.3,317.2,474
203285_s_at,'MAP3K5',na,209.5,173.6,194.2,167.8,130.4,182.4
203286_at,'MAP3K5',na,487.4,341.8,412.2,350.3,292.9,274.7
203288_at,'RPS6KA3',na,412.8,380.5,389.3,344,393.9,333.8
203291_at,'KAT2B',na,241.6,249.4,233.3,205.8,200.4,250.9
203292_s_at,'TRIM32',na,549.7,429.4,554.4,408.9,407,539
203297_s_at,'IGFBP6',na,950.6,774.5,682.3,734.6,617.9,699.7
203299_s_at,'SMN1 /// SMN2',na,374.6,337.3,241.2,268.7,257.5,256.5
203300_x_at,'WDR47',na,2471.7,2599.1,1044.8,1081.6,1128.6,1131.8
203302_at,'VRK1',na,407.5,459.3,620.3,659.3,558.4,949.3
203303_at,'PDIA5',na,1611.3,1425.8,1163.3,1467.9,1429.6,1254.2
203304_at,'COX10',na,223.9,268.3,336,327.6,297.7,397.3
203306_s_at,'NLE1',na,295.9,271.5,316.4,358.3,330.6,443.2
203309_s_at,'VCAM1',na,157.4,190.5,209.6,132.3,158.9,128.5
203310_at,'USP46',na,258.2,259.2,259.3,297.7,179.2,350.8
203311_s_at,'USP46',na,1754.2,1758.6,2213.2,2843.3,2549.2,2400.7
203312_x_at,'SENP3',na,3229.2,3677.6,3838.5,4729.1,4862,4709
203313_s_at,'SMARCA1',na,861.6,875.1,718.7,600,479.8,530.2
203314_at,'SMARCA1',na,869.2,1123.6,286.1,314.8,382.1,315.9
203316_s_at,'SMARCA1',na,3801,4194.4,4471.7,5172.6,4420.9,4763.7
203318_s_at,'PIK3CD',na,518.8,532.9,320.1,496.5,457.1,367.4
203319_s_at,'COX17',na,379.6,421.3,261.8,321.4,280.9,225.1
203320_at,'IRF9',na,1424.3,1586.9,3043.6,3768.5,3156,2279.7
203321_s_at,'RAB11FIP2',na,203.6,281.1,213.1,193.3,231.9,192.4
203322_at,'RAB11FIP2',na,396.5,402.2,302.7,324.9,291.1,302.4
203323_at,'RAB21',na,1843.8,1767.6,987.1,949.4,983.4,970.9
203324_s_at,'THBD',na,2162.5,2143.7,1494.2,1162.3,1051.6,1514.8
203325_s_at,'THBD',na,509.7,637.4,264.1,599,490,308.5
203327_at,'SCG5',na,774,737.4,489.7,244.6,416.2,609.9
203328_x_at,'DAPK3',na,858.9,828.3,499.6,361.9,433.1,437.8
203329_at,'DAPK3',na,698.6,775.2,517,421.9,479.3,644.9
203330_s_at,'AK6',na,273.7,263.9,350.9,302.4,295.4,345.7
203333_at,'TUBG2',na,439.7,430.6,394.2,486.2,406.7,541.6
203335_at,'LYRM1',na,920.8,873.2,663.2,620.6,698.4,714.5
203336_s_at,'CRCP',na,1573.5,1443.4,1435.5,1428.2,1306.5,1697.8
203337_x_at,'CRCP',na,182.9,149.7,371.8,217,342.6,261.6
203338_at,'CD82',na,895.9,828.7,1083,987.5,880.3,1106.2
203339_at,'SLC4A4',na,242.2,201.6,219.4,162.4,116.4,154.8
203340_s_at,'SLC9A6',na,313.7,345.3,298.7,232.9,263.1,289
203341_at,'ARHGAP29',na,608.5,668,1014.4,769.1,671.6,1026.8
203342_at,'CXADR',na,1856.3,1735.3,863.7,1231,1216.9,727.5
203343_at,'CHST2',na,776.6,782.9,958.3,875.2,732.3,954.9
203344_s_at,'GCLM',na,1565,1781.8,1834.7,1369.3,1524.4,1786.5
203345_s_at,'ATP5D',na,728.4,676.2,529.3,607.5,613.9,609
203346_s_at,'NFKBIE',na,246.2,244.9,141.7,185.1,213.9,245.6
203347_s_at,'MRPL12',na,113.9,108.8,157.7,142.5,104.8,169.2
203348_s_at,'HLA-DMB',na,469.5,373.2,457.7,884.6,568.7,433.9
203349_s_at,'RAB11FIP3',na,1205.1,1281.8,1488,1457.7,1516,1295.8
203351_s_at,'ACVR1',na,651.7,706.7,713.1,614.2,632.3,649.8
203352_at,'MMP9',na,133.3,64.6,84.2,88.9,165.5,134
203353_s_at,'NT5E',na,571.7,705.8,587.9,525.7,559.8,545.1
203355_s_at,'INTS9',na,369,436.4,304.6,331.1,356,239.1
203356_at,'KIF3B',na,327.5,332.4,480.1,495.6,457.4,588
203357_s_at,'BTN2A1',na,591.6,643.4,677.6,785.6,647.9,764.4
203358_s_at,'ARG2',na,476.3,523.3,662.7,875.1,677.8,864.6
203359_s_at,'ARG2',na,545.6,483.4,819.3,716.1,787.1,807.3
203360_s_at,'CSTF3',na,282.5,407.2,427.2,509.9,291.6,431.3
