x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8
10012,5,,,,,,
ID_REF,Description,,parental,parentalAM,parentalAMB,BrM2a,Brm2a
AFFX-BioB-5_at,na,'DDR1',141.566,210.601,234.569,201.821,206.286
AFFX-BioB-M_at,na,'RFC2',270.06,392.976,327.778,314.961,234.62
AFFX-BioB-3_at,na,'PAX8',130.063,264.914,164.554,133.724,143.236
AFFX-BioC-5_at,na,'UBA7',496.829,738.579,676.102,544.096,515.009
AFFX-BioC-3_at,na,'THRA',382.79,356.281,365.895,473.619,412.975
AFFX-BioDn-5_at,na,'ESRRA',669.793,566.281,442.206,793.016,671.804
AFFX-BioDn-3_at,na,'GAS6',2729.26,3911.78,3703.68,2851.85,3050
AFFX-CreX-5_at,na,'MMP14',5924.91,6433.29,5979.99,6703.19,5989.89
AFFX-CreX-3_at,na,'TRADD',9507.69,11917.8,9376.73,10224.6,9582.7
AFFX-HUMISGF3A/M97935_5_at,na,'PLD1',167.555,82.7382,120.731,163.275,123.634
AFFX-HUMISGF3A/M97935_MA_at,na,'BAD',498.667,397.633,416.707,418.909,346.877
AFFX-HUMISGF3A/M97935_MB_at,na,'PRPF8',233.328,206.234,303.033,220.027,224.919
AFFX-HUMISGF3A/M97935_3_at,na,'CAPNS1',887.389,663.759,723.871,772.058,640.599
AFFX-HUMGAPDH/M33197_5_at,na,'RPL35',19563.7,19508,19267.1,20818.7,20855.6
AFFX-HUMGAPDH/M33197_M_at,na,'RPL28',18608.7,18996.6,20610.4,21153,18545.6
AFFX-HUMGAPDH/M33197_3_at,na,'EIF4G2',17343.4,18016.4,17463.8,19418.7,17791.3
AFFX-HSAC07/X00351_5_at,na,'EIF3D',19354.5,23294.6,21783.7,19567.2,18746.2
AFFX-HSAC07/X00351_M_at,na,'PARK7',21849.6,25373.1,24922.8,22502.3,21410.5
AFFX-HSAC07/X00351_3_at,na,'SRP14',16410.7,20032.8,20251.1,16663.4,17332.5
AFFX-M27830_5_at,na,'GDI2',248.147,731.485,614.916,346.046,355.077
AFFX-hum_alu_at,na,'GDI2',16793.1,19621,20396.3,16555.1,17534
AFFX-r2-Ec-bioB-5_at,na,'RPL11',180.516,243.154,193.558,164.945,236.218
AFFX-r2-Ec-bioB-M_at,na,'ARF3',271.327,482.63,448.132,230.359,250.293
AFFX-r2-Ec-bioB-3_at,na,'RPL21 /// RPL21P119 /// RPL21P28',213.48,254.304,231.834,188.426,205.031
AFFX-r2-Ec-bioC-5_at,na,'RPL24 /// RPL24P4',595.471,645.13,595.898,634.664,562.05
AFFX-r2-Ec-bioC-3_at,na,'HNRNPC',665.712,848.507,874.329,754.78,667.978
AFFX-r2-Ec-bioD-5_at,na,'2-Sep',2705.48,2599.81,2252.42,2889.44,2174.07
AFFX-r2-Ec-bioD-3_at,na,'HNRNPA1',2804.78,2866.72,2618.01,3162.22,3171.15
AFFX-r2-P1-cre-5_at,na,'RPS27A',9460.56,12667.2,12782.6,9944.56,8229.44
AFFX-r2-P1-cre-3_at,na,'RPS13',14266.1,16690.5,17395.8,14733.2,13400.9
AFFX-r2-Bs-thr-5_s_at,na,'FAU',62.0304,96.4319,102.206,54.6715,77.11
AFFX-r2-Hs28SrRNA-3_at,na,'TARDBP',392.365,651.136,438.07,415.214,425.654
200000_s_at,na,'CFL1',2410.68,2698.94,2701.35,2118.36,2353.25
200001_at,na,'RPL18',5377.87,7695.8,6613.73,8381.6,6847.53
200002_at,na,'EIF3F',12838.5,14678.9,14211.2,9487.22,12961.3
200003_s_at,na,'RPS5',13962.4,12596.6,12638.7,12483.5,13885.8
200004_at,na,'RPL27',7494.09,6921.27,7009.12,7910.79,8388.93
200005_at,na,'RPL34',4483.79,3970.27,3676.82,4021.18,5089.96
200006_at,na,'NARS',6955.24,5668.67,6990,8177.47,6510.35
200007_at,na,'STARD7',5183.68,5466.42,5368.03,5358.74,5686.37
200008_s_at,na,'RPL19',4954.74,3486.43,3463.08,4952.18,5213.25
200009_at,na,'SLC25A3',7088.56,6375.96,6046.17,7338.72,7740.18
200010_at,na,'RPS11',8155.88,7049.09,8599.89,8154.85,7063.8
200011_s_at,na,'RPL9 /// RPL9P7',1942.8,1974.81,2032.77,1523.8,1930.28
200012_x_at,na,'DDX5',13373.5,12603,10529.8,10459,9782.78
200013_at,na,'RPL6 /// RPL6P27',11465.7,11760,12193.6,11907.8,12134.3
200014_s_at,na,'CTDNEP1',2979.02,3027.35,3039.33,3295.89,2790.93
200015_s_at,na,'RPL10A',3429.08,3506.26,3077.37,3491.56,2874.42
200016_x_at,na,'CBX3',11091.9,11676.9,12482.5,10407.8,10764.5
200017_at,na,'C18orf32 /// RPL17 /// RPL17-C18orf32',10607.3,10892.5,11641,12144.8,11628.3
200018_at,na,'PSMB2',13249.6,13280.7,14560.6,14600.8,14909.6
200019_s_at,na,'KHDRBS1',12835.8,12991.2,14190.6,12580.8,15525.4
200020_at,na,'ATP6V1G2-DDX39B /// DDX39B',2953.8,2725.08,2580.93,2901.59,2968.01
200021_at,na,'RTCB',15986.2,19554.4,18966,18015.6,18891.3
200022_at,na,'ERH',12426.3,13014.4,14211.7,10309,12244.9
200023_s_at,na,'SRSF9',6713.46,5866.87,5762.89,7413.52,6917.9
200024_at,na,'ABCF1',12436.2,11106.8,9545.63,9646.64,11130.8
200025_s_at,na,'DAD1',13366.2,14197.3,13379.4,12690.7,12136.7
200026_at,na,'YY1',8410.99,10156.6,9798.97,10183.9,11358.2
200027_at,na,'JTB',4518.43,3612.77,4056.3,4763.51,3301
200028_s_at,na,'KAT7',4495.7,3467.67,3517.08,3428.88,3443.25
200029_at,na,'ZNF146',13171.6,12871.1,11582.9,13641.9,13860.6
200030_s_at,na,'SART1',12698.5,13234.3,11382.3,12874.7,14422.2
200031_s_at,na,'ILF2',15781.8,15402.5,16695.6,13465.2,17125.3
200032_s_at,na,'SPAG7',14105.3,14245.2,13919.2,12209.7,15618.4
200033_at,na,'ZPR1',4844.13,5296.19,4920.17,5023.26,6061.32
200034_s_at,na,'TAF10',9659.45,8626.59,10406.9,10197.3,11637.8
200035_at,na,'C1D',1004.72,1582.69,1147.99,1017.81,995.005
200036_s_at,na,'NONO',10790.4,8994.94,8723.49,11373.9,10858.5
200037_s_at,na,'SNRNP200',3356.72,3356.1,3066.12,3496.03,3735.86
200038_s_at,na,'RHOA',10986.7,12274.9,10982.7,11170,11753
200039_s_at,na,'RNPS1',4548.36,4488.13,4479.32,5498.3,4207.46
200040_at,na,'RPS24',2904.19,2534.05,2564.13,2645.37,2535.15
200041_s_at,na,'RPL30',5586.81,6064.23,6112.82,4378.42,4541.41
200042_at,na,'NPM1',1594.22,1450.69,1761.93,2129.2,2548.62
200043_at,na,'HSP90AB1',6796.16,7586.81,7444.11,6263.86,6985.49
200044_at,na,'ARF1',3049.16,3252.05,3142.93,4579.6,4555.44
200045_at,na,'IK',3835.98,3711.47,3611.39,3327.78,4119.01
200046_at,na,'SNX3',3419.23,3956.83,3943.92,3684.2,3397.1
200047_s_at,na,'CANX',2422.51,2204.99,2081.79,2486.49,2251.08
200048_s_at,na,'SART3',5059.27,5240.49,4818.01,3615.35,2752.19
200049_at,na,'CNPPD1',551.059,666.869,568.72,619.56,714.561
200050_at,na,'SMNDC1',1294.75,1068.5,1243.57,1102.6,1026.93
200051_at,na,'HNRNPM',487.607,550.071,565.93,362.559,529.569
200052_s_at,na,'HNRNPD',2868.25,2528.65,2572.77,3106.08,2577.19
200053_at,na,'RPL14 /// RPL14P1',1009.02,1324.52,1249.62,1487.13,1309.15
200054_at,na,'GUK1',931.112,674.452,560.886,973.29,1094.59
200055_at,na,'KXD1',2229.45,3031.35,3044.59,2852.99,2008.22
200056_s_at,na,'OAZ1',416.842,342.83,409.631,478.471,642.017
200057_s_at,na,'ATP6V0B',6628.53,5918.25,7512.47,7820.29,7854.81
200058_s_at,na,'KARS',2560.51,2484.61,2651.94,2398.77,2302.97
200059_s_at,na,'H3F3A /// H3F3AP4',8409.56,7759.83,8443.93,8075.93,8187.86
200060_s_at,na,'RPS6',3111.48,2505.34,2880.64,2859.16,3473.84
200061_s_at,na,'RPS7',14376.9,17512.8,16281.9,13951.2,14800
200062_s_at,na,'USP22',17207.3,18893,18394.4,16904.6,19219.9
200063_s_at,na,'C11orf58',10736.9,10444.4,11032.4,11127,12721.5
200064_at,na,'TCEB2',16065.3,15870.7,15678.2,17312.1,17033.1
200065_s_at,na,'COX4I1',7609.81,7436.43,7306.11,7979.65,7881.09
200066_at,na,'TMED2',1085.98,983.708,1164.78,1189.08,1424.21
200067_x_at,na,'NBEAL1 /// RPL12 /// RPL12P4',2363.75,2427.1,2487.81,1846.4,2359.49
200068_s_at,na,'RPL4',9407.66,8660.25,10250.1,9343.16,9371.65
200069_at,na,'FNTA',685.967,511.923,673.567,570.806,389.157
200070_at,na,'RPS25',452.253,383.405,344.539,533.54,429.452
200071_at,na,'RPL37',1002.27,1176.04,1255.78,1198.88,1161.3
200072_s_at,na,'HINT1',4065.42,3956.2,4565.63,4438.21,4243.38
200073_s_at,na,'EEF2',3061.15,2465.09,2837.19,2574.61,2380
200074_s_at,na,'RPS10 /// RPS10-NUDT3 /// RPS10P19',7736.33,6937.41,6907.89,8728.74,9004.37
200075_s_at,na,'ATP6V0E1',2053.57,1855.66,1628.2,1912,1726.43
200076_s_at,na,'HNRNPK',1327.16,1172.36,1095.26,2587.26,1714.02
200077_s_at,na,'ANAPC5',9017.66,9458.59,9048.74,8132.85,8221.06
200078_s_at,na,'RPS3A /// RPS3AP26 /// RPS3AP5',2642.42,2893.72,3166.79,3108.96,3644.5
200079_s_at,na,'HNRNPU',3879.73,3352.47,2916.24,3922.01,4423
200080_s_at,na,'HNRNPU',4569.42,4323.35,6436.48,4396.54,3820.33
200081_s_at,na,'EIF3A',12351,12735.6,11530.9,12515.4,13882.9
200082_s_at,na,'EIF3A',9875.23,9764.85,10588.4,10839,12159.3
200083_at,na,'EIF3A',2450.09,2420.15,2796.63,2396.59,2240.27
200084_at,na,'HSP90B1',3344.85,3683.53,3559.9,4366.31,4518.63
200085_s_at,na,'HSP90B1',5283,6416.38,6016.18,4265.03,3991.52
200086_s_at,na,'MSN',2794.09,2546.98,2585.53,2593.6,2413.85
200087_s_at,na,'ACTN4',4703.92,4984.33,4368.25,5345.61,5606.84
200088_x_at,na,'APP',16299,19706.8,16965.4,14385.7,14862.4
200089_s_at,na,'PRKAR1A',5144.83,5068.65,4558.58,5880.76,7531.67
200090_at,na,'PRKAR1A',1472.25,1586.65,1393.28,1858.21,1649.26
200091_s_at,na,'PRKAR1A',4685.9,4021.3,5154.12,4813.75,5495.18
200092_s_at,na,'DSP',10251.2,10119.6,11635.1,8805.97,9369.79
200093_s_at,na,'RAD21',5170.63,5680.4,5788.99,4898.37,5013.71
200094_s_at,na,'RAD21',6511.14,5617.23,5958.78,4381.43,5938.89
200095_x_at,na,'WDR1',24745.2,30685.2,28068.1,24123,22523.3
200096_s_at,na,'NCL',4545.2,3566.68,4177.02,4358.89,4094.96
200097_s_at,na,'WDR1',3629.6,3646.69,3444.98,3262.2,4388.64
200098_s_at,na,'AP2B1',2739.15,2410.37,2298.15,2613.46,3054.64
200099_s_at,na,'AP2M1',12000.6,14399.6,14344.1,14700.9,15288.8
1007_s_at,na,'CLTC',892.695,940.303,1043.35,581.247,769.114
1053_at,na,'AP2B1',784.599,735.979,357.961,612.073,653.074
121_at,na,'MLEC',909.273,1168.95,1209.85,1012.84,1292.33
1294_at,na,'MLEC',210.765,323.643,291.504,184.365,239.483
1316_at,na,'LASP1',77.637,81.0986,90.3806,65.6596,84.9038
1487_at,na,'SF3B2',813.312,604.584,690.004,507.513,686.846
1598_g_at,na,'TMEM59',7090.19,6272.49,5643.65,5026,3937.65
160020_at,na,'CSRP1',909.727,1532.69,1610.71,1344.82,1726.49
1729_at,na,'CALM2 /// CALM3',330.598,258.368,262.636,325.395,286.557
177_at,na,'CALM2 /// CALM3',81.4028,102.515,105.272,146.707,99.5512
1861_at,na,'MATR3',525.229,609,528.66,365.795,451.993
2028_s_at,na,'CAP1',546.266,623.311,666.774,483.07,475.355
243_g_at,na,'MATR3',1114.42,1308.93,1725.96,914.591,1038.31
31799_at,na,'PTGES3',66.6369,51.1628,45.8161,51.1393,38.2696
31807_at,na,'WARS',785.71,671.305,664.61,614.435,646.915
31826_at,na,'SET',643.84,633.492,543.233,815.45,718.143
31837_at,na,'SET',891.502,1236.53,1096.87,908.509,788.198
31845_at,na,'NDRG1',844.079,1158.18,1102.23,667.233,459.88
31861_at,na,'UBB',749.405,653.95,685.152,659.656,645.546
31874_at,na,'PFN1',1574.49,1567.46,1746.81,1289.96,2186.14
32029_at,na,'PTPRF',444.297,495.176,588.656,436.868,323.405
32032_at,na,'PTPRF',280.718,272.437,244.717,382.247,467.516
32042_at,na,'PTPRF',91.8425,91.3338,80.1674,82.3588,104.027
32069_at,na,'YWHAZ',198.818,290.605,205.762,206.353,216.289
32088_at,na,'YWHAZ',22.2803,37.8552,24.5466,24.9239,26.7756
32091_at,na,'YWHAZ',382.294,314.856,558.484,323.986,260.056
32094_at,na,'YWHAZ',437.407,613.727,527.89,458.695,358.511
32099_at,na,'SOD1',639.091,702.282,773.075,560.419,545.609
320_at,na,'HDLBP',277.811,430.158,374.914,271.958,328.081
32209_at,na,'MARCKSL1',889.133,691.579,1065.11,596.545,831.353
32259_at,na,'GABARAP',255.927,304.105,289.386,177.28,176.464
32402_s_at,na,'NUCB1',218.057,211.638,268.923,269.644,206.906
32540_at,na,'EIF3C /// EIF3CL',116.698,120.037,129.551,80.1392,97.7496
32541_at,na,'NUCB1',100.689,78.4845,90.6986,81.2757,80.8487
32699_s_at,na,'LDHA',600.23,498.577,572.489,1109.35,530.473
32723_at,na,'GNB2L1',189.448,172.635,213.168,234.02,218.068
32811_at,na,'SSR2',1269.28,1988.03,1736.38,1192.32,1365.51
32836_at,na,'CALM1 /// CALM2',2875.68,3701.97,3476.04,3170.93,2872.77
32837_at,na,'P4HB',1022.56,1349.37,1420.83,743.517,1012.48
33132_at,na,'CALM1 /// CALM2',886.965,874.935,961.803,792.202,747.116
33148_at,na,'P4HB',172.261,85.2644,100.359,130.697,177.842
33307_at,na,'SLC25A5',489.136,471.284,512.467,459.493,702.774
33322_i_at,na,'PHB',6660.47,9782.21,9400.96,8306.2,7299.16
33323_r_at,na,'PHB',2920.63,4423.89,4539.3,3667.77,3249.2
33646_g_at,na,'S100A11',236.065,299.834,167.235,240.285,274.894
33736_at,na,'CTSA',279.051,285.307,258.725,247.054,318.886
33760_at,na,'TOMM20',300.217,277.288,350.568,334.596,271.142
33768_at,na,'CD63',625.011,684.879,886.579,696.611,688.338
33778_at,na,'DNAJB1',520.471,667.075,694.05,433.367,587.988
33814_at,na,'DNAJB1',627.083,742.906,762.475,462.85,563.13
33850_at,na,'UBE2D3',285.207,365.983,386.329,268.595,302.566
34031_i_at,na,'UBE2D3',240.247,177.367,182.915,163.009,183.338
34187_at,na,'UBE2D3',119.472,120.234,119.445,159.927,203.75
34206_at,na,'XBP1',311.47,409.271,416.847,325.415,370.469
34221_at,na,'SPTBN1',343.184,565.657,550.795,537.33,643.05
34225_at,na,'SPTBN1',264.367,250.246,230.586,298.273,289.141
34260_at,na,'LAPTM4A',225.726,188.398,220.673,211.698,238.755
34406_at,na,'RPL32',431.278,408.721,435.233,421.545,341.999
34408_at,na,'CD81',264.111,358.464,315.163,541.028,406.395
34449_at,na,'UBE2L3',168.022,136.669,162.807,80.5277,113.678
34478_at,na,'PTTG1IP',179.39,221.25,267.741,263.786,201.729
34697_at,na,'GRN',124.662,171.979,128.271,95.9355,80.2834
34764_at,na,'HMGB1',422.487,370.106,371.493,264.867,322.527
34858_at,na,'HMGB1',551.794,477.114,488.333,393.022,606.287
34868_at,na,'GLO1',406.366,436.202,497.558,341.321,302.782
35150_at,na,'UBE2L3',1061.74,920.932,1025.02,791.248,1298.27
35156_at,na,'UBE2L3',514.046,637.526,579.36,524.465,452.158
35160_at,na,'UBE2L3',284.262,283.029,271.543,422.798,467.517
35201_at,na,'SRSF11',1624.67,1503.82,1509.02,1497.16,1758.86
35254_at,na,'SF3B3',313.877,425.512,257.527,437.33,433.997
35265_at,na,'SF3B3',712.822,740.694,774.35,970.598,1004.5
35436_at,na,'EEF1G',210.861,366.434,347.214,245.702,223.845
35617_at,na,'HSPA9',229.707,316.091,340.407,316.812,235.659
35626_at,na,'HSPA9',743.305,636.723,748.299,668.924,449.371
35666_at,na,'HSPA9',306.842,422.616,330.596,262.87,369.221
35671_at,na,'YWHAQ',709.789,666.887,792.279,488.564,719.67
35685_at,na,'DDX24',916.045,702.033,1366.16,1063.79,1403.57
35776_at,na,'PPP2R1A',515.059,522.007,569.789,391.722,463.268
35820_at,na,'GSN',399.981,423.02,492.908,669.034,495.707
36004_at,na,'HK1',915.543,705.415,787.019,917.305,1050.01
36019_at,na,'KDELR2',803.621,664.678,774.35,938.791,1109.14
36084_at,na,'KDELR2',351.321,647.325,633.506,565.875,359.345
36129_at,na,'KDELR2',1054.09,1009.51,1147.74,857.901,902.5
36475_at,na,'NPC2',301.616,327.376,299.779,316.261,391.334
36499_at,na,'DDX24',153.676,133.739,167.498,74.2904,128.62
36552_at,na,'DYNLL1',209.874,238.088,259.25,202.224,311.818
36553_at,na,'LITAF',279.969,219.973,275.159,98.7365,131.611
36554_at,na,'EEF1B2',404.493,352.609,365.47,129.447,151.796
36564_at,na,'LITAF',299.926,450.094,389.782,251.518,348.1
36566_at,na,'PRKCSH',301.812,367.499,420.014,289.842,419.78
36711_at,na,'GOT2',1154.12,1043.79,1226.71,2230.98,2677.9
36829_at,na,'FKBP1A',374.978,363.542,352.534,351.488,484.108
36888_at,na,'ACADVL',525.317,488.703,524.588,466.065,601.725
36907_at,na,'SKP1',770.069,1223.6,1052.74,892.638,1052.82
36936_at,na,'MAPRE1',1249.2,1185.71,1160.66,778.718,901.973
36994_at,na,'MAPRE1',3855.2,4081.82,4520.04,3482.38,4207.67
37005_at,na,'OS9',866.6,1057.88,1036.44,810.265,1008.87
37012_at,na,'RPL13A',2132,2601.41,2886.13,2719.09,2366.22
37028_at,na,'RPL13A',1295.22,1143.9,1275.4,2116.05,1727.96
37079_at,na,'RPL7',97.2732,150.652,110.946,130.241,149.486
37152_at,na,'SKP1',526.899,560.742,678.61,781.111,916.964
37170_at,na,'SKP1',102.019,82.3948,79.4802,122.327,94.281
37226_at,na,'ACTR1A',243.536,229.737,267.899,294.949,262
37232_at,na,'ACTR1A',123.38,180.715,111.558,101.722,155.785
37254_at,na,'CAPRIN1',155.901,149.967,201.844,149.412,167.048
37384_at,na,'CAPRIN1',736.207,754.919,714.855,473.122,861.478
37424_at,na,'RPL10',305.535,307.488,263.683,376.255,308.037
37425_g_at,na,'PPP1CC',315.82,251.491,302.03,327.453,292.386
37462_i_at,na,'ACTR2',704.308,803.276,791.18,378.391,230.607
37577_at,na,'ACTR2',145.373,124.541,152.506,113.99,158.468
37652_at,na,'ACTR2',211.417,243.673,266.668,218.947,301.615
37793_r_at,na,'PTP4A1',228.263,250.834,185.028,164.952,253.236
37860_at,na,'PTP4A1',208.158,231.093,267.645,147.435,166.259
37943_at,na,'PTP4A1',98.9433,138.214,99.5638,75.871,161.961
37950_at,na,'PTP4A1',196.585,164.58,169.026,232.03,176.531
37996_s_at,na,'ARF3',137.14,147.953,126.406,140.546,114.737
38037_at,na,'NACA',763.398,714.65,723.21,782.108,1585.18
38069_at,na,'GPX1',859.886,732.089,763.019,824.445,874.513
38157_at,na,'PGK1',422.947,290.534,527.208,588.37,299.583
38158_at,na,'PGK1',1074.14,862.392,904.822,838.162,667.8
38241_at,na,'SUMO3',66.8417,161.12,139.866,45.3797,58.9477
38269_at,na,'SUMO3',528.744,636.033,691.161,702.473,548.438
38340_at,na,'RPS27',490.834,679.391,601.421,503.551,572.844
38398_at,na,'TPP1',528.4,837.786,673.741,573.545,560.556
38447_at,na,'TPP1',562.07,682.159,647.983,712.305,912.889
38671_at,na,'GNB1',518.771,524.448,633.713,488.586,504.213
38703_at,na,'GNB1',867.967,821.64,755.835,549.831,889.258
38710_at,na,'GNB1',2706.52,2528.16,2153.66,2090.52,2340.95
38766_at,na,'NUMA1',307.118,205.66,264.76,229.257,176.892
38892_at,na,'FTH1',139.504,151.691,224.279,124.71,74.3151
38918_at,na,'RAN',257.133,278.4,286.752,174.888,179.321
39248_at,na,'RAN',55.6885,128.168,139.429,147.174,63.6032
39313_at,na,'HNRNPC',34.5006,52.2636,44.1213,57.0863,50.4533
39548_at,na,'CAPN1',111.615,226.471,248.707,157.267,137.903
39549_at,na,'SRSF2',184.199,266.623,263.062,209.523,191.167
39582_at,na,'SRSF2',88.9495,73.2101,70.2027,142.638,95.9959
39650_s_at,na,'CALU',72.8557,84.4896,98.2951,48.5204,86.7752
39705_at,na,'CALU',198.381,361.615,371.408,303.218,203.488
39729_at,na,'CALU',2684.61,3157.93,3097.09,3684.94,2899.92
39817_s_at,na,'NFE2L1',1394.08,1819.97,1604.6,1211.49,946.753
39891_at,na,'NFE2L1',116.105,130.599,110.567,96.1763,111.053
39966_at,na,'ARL6IP5',187.354,139.086,129.749,134.139,126.404
40148_at,na,'ARL6IP5',263.139,252.591,257.67,416.074,354.436
40149_at,na,'DPYSL2',228.406,287.864,247.07,188.572,264.749
40189_at,na,'RPLP1',3428.63,3139.59,3758.35,2577.31,3561.14
40225_at,na,'CTNNA1',688.971,660.738,580.602,855.134,613.36
40255_at,na,'CTNNA1',253.466,272.348,187.003,276.217,232.644
40359_at,na,'CTSD',1609.59,1184.22,1329.72,1784.67,1221.95
40420_at,na,'FAM120A',1009.7,861.802,923.286,1034.03,557.17
40446_at,na,'MAT2A',1378.18,1729.83,1943.08,2138.48,1812.74
40465_at,na,'MAT2A',301.32,280.642,312.922,293.876,223.602
40472_at,na,'LAMC1',364.305,336.283,577.149,313.176,306.938
40524_at,na,'LAMC1',130.935,137.986,132.78,135.894,143.258
40562_at,na,'LOC728026 /// PTMA',1452.87,1048.12,1128.31,744.651,707.99
40569_at,na,'PTMA',315.95,289.14,282.619,279.378,421.055
41037_at,na,'FAM120A',303.97,253.997,242.582,472.545,369.105
41047_at,na,'HNRNPK',756.966,741.558,762.05,673.97,833.708
41113_at,na,'BZW1',113.94,160.776,116.566,121.818,131.254
41160_at,na,'BZW1',1374.54,1700.33,1624.98,897.379,1316.37
41220_at,na,'2-Sep',6045.67,5666.88,6918.75,5604.37,5963.9
41329_at,na,'ATF4',122.969,107.008,115.714,121.836,114.6
41386_i_at,na,'GNAS',337.567,603.245,701.506,258.035,542.324
41512_at,na,'RPS15A',185.678,172.666,195.078,227.489,269.026
41644_at,na,'ANXA5',367.398,430.747,403.111,400.017,564.181
41856_at,na,'STMN1',241.756,264.568,221.833,251.807,296.576
41858_at,na,'PSMB7',239.42,282.828,284.812,231.174,170.117
564_at,na,'PEA15',1444.89,1245.14,1254.88,922.225,985.651
632_at,na,'PEA15',577.471,706.142,714.872,553.378,611.837
635_s_at,na,'ECH1',149.77,202.932,188.89,259.917,223.539
42361_g_at,na,'ODC1',175.526,138.652,161.008,157.607,175.333
43511_s_at,na,'IQGAP1',225.246,339.777,295.079,297.223,307.183
43544_at,na,'XRCC6',323.927,363.943,454.198,227.796,200.912
43934_at,na,'ACO2',388.894,567.161,523.538,413.611,458.155
43977_at,na,'DAZAP2',1088.97,1059.15,1101.65,819.175,879.783
44040_at,na,'MCL1',223.03,291.139,294.288,228.343,303.638
44065_at,na,'MCL1',358.184,301.984,335.223,306.021,371.242
44111_at,na,'MCL1',299.727,286.231,251.206,277.045,332.227
44120_at,na,'HSPA1A /// HSPA1B',347.989,371.688,403.464,309.19,226.736
44146_at,na,'HSPA1A /// HSPA1B',863.294,912.181,975.47,814.257,715.146
44563_at,na,'ACTB',1274.61,1324.05,1243.47,1145.88,1606.46
44617_at,na,'SARS',586.397,701.359,565.588,698.245,826.336
44654_at,na,'TMBIM6',1576.34,1450.49,1471.55,1804.74,1339.01
44669_at,na,'TMBIM6',173.402,124.514,177.791,179.572,185.314
44696_at,na,'LMAN2',480.512,569.749,517.329,327.545,663.666
44702_at,na,'HSPD1',1330.5,1629.74,1661.09,2423.31,1861.72
44783_s_at,na,'HSPD1',175.15,210.94,245.29,226.415,309.481
44822_s_at,na,'ZYX',279.177,292.613,243.381,222.435,213.337
45288_at,na,'RPL12',158.797,187.745,171.357,117.277,269.987
45297_at,na,'CIRBP',670.749,1104.68,1044.68,366.117,383.032
45526_g_at,na,'CIRBP',1213.58,1528.47,1488.97,1150.04,1522.75
45572_s_at,na,'CCT7',1659.49,1852.64,1866.75,1627.15,2162.85
45633_at,na,'PAFAH1B1',170.917,196.73,187.069,271.388,207.235
45687_at,na,'PSME1',738.523,709.349,669.637,591.278,576.519
45714_at,na,'PAFAH1B1',634.532,1256.79,1228.23,706.627,560.413
45749_at,na,'PAFAH1B1',1764.63,1969.33,1960.15,1582.07,1305.42
45828_at,na,'RPS10',946.286,810.788,1117.97,920.87,1159.84
46167_at,na,'ATP5O',482.589,429.972,394.137,664.616,517.989
46256_at,na,'RPS15',774.328,632.964,777.298,1107.29,1099.79
46270_at,na,'PSMD8',523.901,605.835,600.163,597.776,536.03
46323_at,na,'LAMP2',1248.51,1542.06,1242.49,797.462,953.873
46665_at,na,'TPI1',592.404,426.272,588.618,546.669,656.704
46947_at,na,'RPL29',167.542,181.697,156.148,109.82,166.781
47083_at,na,'GSTP1',543.303,660.774,575.736,509.237,511.98
47105_at,na,'HYOU1',144.371,335.115,300.935,195.219,192.969
47530_at,na,'SNRPD2',247.64,422.765,405.63,240.758,246.305
47560_at,na,'PLOD1',181.151,246.365,244.912,220.657,139.561
47571_at,na,'ZNF207',221.051,251.358,158.919,165.882,279.583
47608_at,na,'ZNF207',770.745,1070.01,960.929,881.845,956.075
47773_at,na,'PSMD2',133.587,185.228,123.329,159.058,134.597
48030_i_at,na,'SCD',2547.75,2611.33,2265.77,1744.87,2488.56
48531_at,na,'RAP1B',859.732,905.526,1008.05,711.079,782.015
48580_at,na,'RPS21',1303.08,1655.31,1427.86,1509.85,1241.09
49111_at,na,'BCAP31',128.06,282.913,223.164,199.153,217.107
49327_at,na,'CTSB',595.876,623.173,542.429,584.34,614.622
49485_at,na,'CTSB',414.641,423.147,328.078,441.803,389.954
49878_at,na,'KARS',851.752,909.5,817.235,974.06,1019.77
50277_at,na,'EPRS',1737.52,1872,1999.91,1682.14,2000.06
50314_i_at,na,'EPRS',1171.15,1309.84,1179.17,857.722,1172.54
50374_at,na,'EPRS',309.245,287.969,274.172,378.311,293.4
50376_at,na,'PRDX6',420.052,443.972,383.057,354.556,366.987
50400_at,na,'PRDX6',165.655,191.562,207.597,165.572,149.786
51146_at,na,'PPP1CA',113.552,155.642,146.709,133.588,135.956
51176_at,na,'SARAF',1275.36,1254.91,1120.05,1100.98,1365.64
51200_at,na,'AHCYL1',587.93,780.592,767.35,1012.66,724.477
51228_at,na,'AHCYL1',73.4926,73.506,69.4563,71.6559,88.3624
52005_at,na,'AHCYL1',409.555,561.988,622.247,466.829,674.375
52078_at,na,'IST1',738.008,719.641,828.048,864.756,676.72
52159_at,na,'GNB2',256.108,349.382,319.713,242.104,208.228
52164_at,na,'H2AFZ',1362.51,1251.63,1425.47,939.752,849.752
52169_at,na,'NCOR1',883.383,1022.94,929.319,1077.47,918.054
52285_f_at,na,'NCOR1',242.442,148.769,152.094,246.516,327.443
52731_at,na,'NCOR1',114.911,117.108,174.02,126.869,115.956
52741_at,na,'NCOR1',247.962,204.306,157.02,206.376,311.398
53071_s_at,na,'RPS8',333.606,292.184,296.424,318.776,243.039
