x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8
10012,5,,,,,,
ID_REF,Description,,parental,parentalAM,parentalAMB,BrM2a,Brm2a
216231_s_at,na,'GOLGA7',13389.5,14193.3,14222,10531.7,14279.2
216232_s_at,na,'ENAH',574.491,582.92,579.441,644.426,736.662
216236_s_at,na,'WBP11',353.412,541.901,307.348,240.434,287.281
216237_s_at,na,'WBP11',1154.89,1178.02,1258.01,983.697,1201.99
216241_s_at,na,'UBE2J1',2794.92,2806.22,3001.53,2430.61,2838.03
216242_x_at,na,'UBE2J1',1310.02,1184.46,1008.86,869.956,1360.62
216246_at,na,'UBE2J1',209.12,212.044,263.028,102.626,171.453
216250_s_at,na,'UBE2J1',912.01,901.407,854.853,4497.96,2520.75
216251_s_at,na,'SPG21',900.96,1017.51,962.151,728.792,1100.51
216252_x_at,na,'SLTM',88.6169,126.841,92.0314,152.73,108.515
216262_s_at,na,'USP39',441.782,491.671,415.595,427.261,588.465
216264_s_at,na,'NSFL1C',381.372,659.165,703.789,614.1,424.049
216266_s_at,na,'NSFL1C',492.247,503.464,435.6,608.41,512.305
216267_s_at,na,'SYNCRIP',365.383,452.294,490.654,457.371,421.802
216268_s_at,na,'SYNCRIP',748.122,711.984,728.157,1589.82,1466.31
216271_x_at,na,'SYNCRIP',208.945,302.587,239.305,359.908,303.378
216272_x_at,na,'C20orf24 /// TGIF2-C20orf24',871.202,958.034,916.87,1853.84,1526.52
216274_s_at,na,'YY1AP1',2705.63,2260.5,3251.83,2619.37,3882.13
216282_x_at,na,'CHMP3 /// RNF103-CHMP3',166.887,299.457,268.493,199.093,340.408
216283_s_at,na,'TFG',246.554,356.048,371.547,418.493,302.312
216295_s_at,na,'DDX41',7604.15,6635.47,7552.54,6016.68,5978.33
216304_x_at,na,'PPME1',3099.5,2565.14,2417.45,3265.07,3266.19
216305_s_at,na,'C7orf55-LUC7L2 /// LUC7L2',290.042,222.464,222.639,291.861,307.263
216306_x_at,na,'MED4',6839.07,5990.7,7090.03,5274.24,5367.82
216308_x_at,na,'HIGD1A',1180.84,1097.16,1162.74,1111.75,1244.11
216321_s_at,na,'QARS',986.594,729.685,803.648,748.835,746.854
216322_at,na,'PPA1',37.6256,71.5725,76.1772,63.2347,53.3996
216323_x_at,na,'CDC42BPB',425.906,637.942,687.803,1615.76,438.813
216326_s_at,na,'GNL3',1035.52,1030.45,873.301,1085.78,959.317
216336_x_at,na,'PRELID3B',7551.44,4814.36,4148.02,4537.51,8347.32
216338_s_at,na,'ARL8B',656.194,911.143,926.926,896.101,805.004
216342_x_at,na,'TNS3',7459.29,7550.46,8078.22,7088.15,8925.72
216348_at,na,'POLR2E',493.506,1404.03,1380.41,306.372,541.399
216363_at,na,'SDF4',44.8711,134.784,124.085,37.8451,125.11
216381_x_at,na,'ARMCX3',273.165,416.843,403.338,290.477,309.745
216383_at,na,'SLC39A9',513.925,434.214,624.873,406.081,471.621
216384_x_at,na,'NDUFA10',5119.21,6425.6,8297.13,5286.89,6451.7
216387_x_at,na,'PREB',606.38,729.849,482.426,798.877,638.103
216392_s_at,na,'PIAS1',989.064,770.438,686.383,825.994,774.954
216396_s_at,na,'PIAS1',3000.75,2260.56,2555.98,2243.8,2900.48
216397_s_at,na,'PIAS1',680.475,647.033,778.215,521.406,817.213
216409_at,na,'RNF130',118.18,205.726,150.479,123.774,174.642
216437_at,na,'CPSF7',75.585,93.8275,93.7603,55.0718,126.464
216438_s_at,na,'BACE2',10900.8,13267.1,14120,7757.32,8389.33
216440_at,na,'METTL9',53.9568,91.6537,43.8042,69.8884,77.9013
216442_x_at,na,'HSD17B12',6798.92,2358.77,2321.47,2670.08,3395.91
216449_x_at,na,'CMPK1',1276.73,1428.54,1732.91,2189.16,1926.55
216450_x_at,na,'MIF',570.732,549.124,722.334,586.309,545.356
216457_s_at,na,'PIH1D1',701.372,621.424,711.19,766.458,798.297
216483_s_at,na,'CAB39',1974.21,1756.27,1969.7,1412.17,1457.55
216484_x_at,na,'SUCLG1',1903.3,2282.98,2246.49,1669.65,1646.75
216497_at,na,'PMEPA1',175.187,104.199,154.107,119.142,122.34
216505_x_at,na,'GPBP1L1',1636.29,1974.54,2157.52,2096.67,2347.79
216508_x_at,na,'CDC27',1071.11,1156.32,1337.94,748.891,640.456
216511_s_at,na,'CDC27',306.275,378.283,236.537,466.151,373.718
216515_x_at,na,'CDC27',3672.86,2905.29,3390.39,3162.73,3325.03
216520_s_at,na,'CDC27',15096.7,14738.7,13688,11581.2,13812.6
216521_s_at,na,'EMC3',444.251,517.301,620.792,469.525,443.926
216525_x_at,na,'MMADHC',766.798,638.364,651.83,575.108,588.22
216526_x_at,na,'NAT10',14398,16055,18338.1,8282.94,12676.4
216532_x_at,na,'IPO9',336.04,566.177,370.354,438.559,723.48
216540_at,na,'EPS15',67.9094,133.266,101.26,61.1264,81.4865
216547_at,na,'EPS15',437.103,487.439,446.883,328.244,542.251
216548_x_at,na,'ARFGAP1',325.565,323.154,436.979,407.027,434.9
216549_s_at,na,'CYBRD1',96.5156,145.56,118.906,223.8,109.445
216554_s_at,na,'PARVA',507.23,595.804,576.62,409,479.498
216559_x_at,na,'C16orf58',830.286,853.934,863.73,823.837,949.961
216563_at,na,'LIMA1',94.4564,124.18,97.2678,140.42,98.0793
216565_x_at,na,'AKIRIN1',586.175,783.935,763.562,695.077,613.372
216570_x_at,na,'KCTD3',1697.26,1482.49,1655.49,1528.1,2038.04
216591_s_at,na,'PTCD3',821.514,723.702,816.384,874.36,823.174
216593_s_at,na,'EMC7',632.338,514.361,545.847,490.102,453.041
216594_x_at,na,'TMEM214',193.581,469.357,517.85,639.824,726.277
216595_at,na,'IARS2',52.5333,43.2396,64.1891,39.2595,61.901
216602_s_at,na,'DSG2',978.761,1225.15,968.174,1858.94,1359.72
216606_x_at,na,'HERC2',635.943,733.997,871.215,567.268,583.054
216607_s_at,na,'STRN4',1377.67,1435.24,1590.62,844.244,1163.81
216609_at,na,'BACE1',251.507,229.111,428.611,212.9,292.289
216627_s_at,na,'MCMBP',258.526,153.727,215.441,210.483,233.434
216640_s_at,na,'KLHDC2',2496.17,3007.64,3550.25,3046.64,3427.43
216652_s_at,na,'MRPL18',921.359,799.428,696.718,1026.88,1051.21
216678_at,na,'DCAF6',265.181,269.754,243.53,190.442,282.256
216680_s_at,na,'MLX',111.612,179.006,195.065,111.706,133.537
216684_s_at,na,'MLX',403.315,305.259,350.429,528.68,545.801
216689_x_at,na,'BAG3',682.204,861.736,770.82,605.134,881.082
216693_x_at,na,'DUS1L',652.253,462.176,568.509,626.94,745.956
216713_at,na,'VPS4A',134.268,109.152,126.02,76.9138,72.9129
216783_at,na,'TPCN1',40.6654,66.7233,45.4135,37.5318,50.7281
216804_s_at,na,'RSL24D1',1393.34,766.632,958.786,1365.4,1127.53
216809_at,na,'FAM49B',78.8944,112.938,75.402,82.4691,109.743
216835_s_at,na,'DYNLRB1',174.878,251.683,236.166,367.327,258.921
216836_s_at,na,'DYNLRB1',624.085,567.91,569.708,346.153,294.024
216841_s_at,na,'MRPL42',397.208,206.969,231.86,390.658,313.279
216855_s_at,na,'MAN1A2',474.4,420.75,507.971,444.851,309.062
216862_s_at,na,'MAN1A2',513.785,592.577,489.413,427.585,460.195
216863_s_at,na,'MAN1A2',311.443,281.917,370.276,391.129,259.643
216870_x_at,na,'PEF1',513.239,358.264,257.466,193.598,76.082
216885_s_at,na,'C6orf106',314.301,420.676,317.481,387.338,320.236
216899_s_at,na,'C6orf106',272.425,505.927,449.464,296.386,326.615
216903_s_at,na,'C19orf53',1040.09,1253.55,1154.2,1092.93,1047.03
216915_s_at,na,'SPCS1',301.745,151.855,105.8,278.231,225.263
216933_x_at,na,'PPP6R3',48.7536,43.5501,37.5645,52.0466,71.5713
