,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
7.7696,159.9154,189.5716,190.74,203.4647,231.5337,122.8631,141.1709,247.3201,NaN,454.9406,432.0082,521.1468,746.6502,455.9945,654.4306,578.0406,609.7231,NaN,692.6125,769.946,747.4811,780.261,751.2138,718.4083,804.7821,919.6949,NaN,158.1409,169.8519,140.9466,167.9112,143.4512,225.3332,178.1327,161.2602,NaN,272.3886,231.4645,259.253,375.8394,216.548,224.7344,273.4137,252.0775,NaN,242.7055,263.8599,248.8922,255.2542,281.2419,269.7507,247.4891,208.2379,NaN,207.6974,136.6384,159.8781,158.4891,NaN,605.1798,603.2735,576.8262,678.2708,NaN,143.9975,182.1899,186.0643,167.9251,NaN,794.3829,763.2016,754.8316,823.7839,NaN,266.9103,254.1397,256.8943,322.6084,NaN,254.2794,224.019,224.7726,360.4192
14.2298,157.1209,184.6459,184.8348,197.5615,231.456,118.4299,134.9899,238.8511,NaN,441.1535,423.1923,504.7247,721.5899,438.4889,639.3836,569.8539,581.5468,NaN,678.5754,751.2412,717.0577,760.6137,733.5307,698.1411,801.8689,897.7268,NaN,154.481,155.321,129.6136,167.0956,135.5287,222.0063,170.0559,152.9572,NaN,261.7485,223.4312,251.4752,374.6119,206.8893,220.2383,266.159,248.0108,NaN,231.024,256.7731,237.0261,237.6921,266.5029,258.1238,231.9893,198.813,NaN,203.8159,132.8222,155.7877,156.3344,NaN,593.0563,588.55,557.2423,660.5297,NaN,142.7496,177.0889,181.4849,165.0727,NaN,770.6572,741.6251,723.5041,806.7408,NaN,261.338,247.0073,255.1235,319.3737,NaN,246.7838,215.5767,218.2325,345.1313
20.7894,241.813,294.6751,287.4889,299.4966,387.6221,161.6608,192.2629,352.442,NaN,564.353,516.3052,650.5105,1006.751,533.7388,871.1164,735.0271,739.7382,NaN,877.8879,979.1007,945.6968,1028.9258,994.7562,967.5399,1090.6308,1176.9222,NaN,197.5606,211.5012,149.3989,188.3606,163.8461,324.1049,224.0814,187.6273,NaN,305.6933,250.1573,296.0402,478.4781,230.3114,248.4639,302.5939,287.7892,NaN,285.5906,374.7998,319.632,327.8647,371.2831,353.4482,295.6996,241.9537,NaN,196.5802,124.2757,145.5086,149.321,NaN,580.6505,576.9046,534.7564,656.4754,NaN,138.1646,157.6193,167.4713,158.0308,NaN,763.6565,721.3743,734.6317,811.0734,NaN,251.7131,236.8856,239.3404,309.5137,NaN,233.6027,196.3316,204.9099,336.1229
27.2509,245.8331,302.3804,300.1727,311.1933,397.0841,167.3467,202.4042,366.5113,NaN,623.2607,563.1653,736.1783,1052.2786,588.1269,962.8654,788.6041,837.9327,NaN,861.0956,940.6236,914.4926,977.9559,943.9833,928.9416,1025.1913,1119.9263,NaN,208.9561,226.9814,165.9469,221.7732,172.3124,349.8476,240.2211,191.097,NaN,342.1486,288.4865,347.033,537.6754,255.8316,275.6912,346.8861,332.127,NaN,292.3177,379.4454,335.3427,329.8894,386.309,359.06,300.9984,251.4455,NaN,197.6177,129.1656,144.7325,148.5197,NaN,588.7217,574.2168,531.1915,640.8336,NaN,138.0953,155.8622,168.3819,159.2182,NaN,751.5494,711.2699,713.6102,782.93,NaN,251.0601,242.1695,248.7533,315.1379,NaN,229.6077,198.502,197.7518,332.148
33.7135,251.784,310.4773,300.2271,314.0387,402.8986,169.7555,201.6943,372.2593,NaN,635.7896,579.1102,754.2018,1052.0514,607.3582,979.6993,802.9585,874.5598,NaN,873.007,920.4306,888.8401,948.1567,918.2599,906.4629,981.2999,1133.0261,NaN,215.4025,231.273,161.0188,226.6023,175.2208,355.7374,240.8647,198.7654,NaN,358.3029,304.9579,362.8286,554.8496,266.702,285.6612,358.1485,350.3002,NaN,297.9393,373.9077,331.0428,331.8273,383.7508,357.3051,298.5382,253.9878,NaN,190.9614,125.2458,146.8667,146.0564,NaN,577.3489,577.5369,529.0711,630.6826,NaN,137.9578,156.0659,168.289,155.2186,NaN,740.1143,712.5412,703.116,775.4739,NaN,248.2128,237.1616,241.8595,311.5621,NaN,230.4295,197.5662,197.4274,325.3084
40.282,84.8872,104.7837,96.2818,106.1454,131.464,78.13,90.116,165.3833,NaN,182.2997,230.1502,243.4737,326.1011,215.6815,283.2949,312.0961,281.3166,NaN,389.8714,414.4176,423.0505,426.5666,450.9083,425.606,462.1185,522.7418,NaN,96.2606,103.2237,85.0475,101.9822,95.0826,120.5615,109.786,109.8303,NaN,136.7748,131.5398,128.4319,174.6223,122.0214,126.5536,146.24,141.8633,NaN,134.5796,140.0099,136.9134,138.5634,160.1038,149.9721,157.8027,131.7555,NaN,188.7096,121.5939,139.6623,139.1083,NaN,568.0243,563.917,513.4118,616.2939,NaN,125.9726,147.0162,157.2032,147.0573,NaN,735.9399,709.8597,711.5157,795.17,NaN,246.5621,229.2123,236.2519,304.7522,NaN,222.2752,189.0445,191.972,320.4825
46.7469,58.3928,73.0338,69.3597,74.1677,77.1235,57.9063,65.1071,116.0524,NaN,156.5439,177.1417,195.4524,245.7761,179.2493,236.212,234.7311,248.0665,NaN,271.7786,280.4282,296.8599,282.3931,304.7751,295.3983,311.1173,363.3616,NaN,87.058,88.9629,82.7853,83.2643,76.7661,97.9752,89.5552,99.6938,NaN,124.672,119.052,115.3376,148.4806,105.9497,108.5628,128.0947,129.35,NaN,114.0402,105.4798,114.4531,106.1794,135.6788,120.9913,136.0002,123.8221,NaN,188.4155,122.5087,140.4247,141.5371,NaN,577.8348,569.8078,514.9126,615.8602,NaN,127.8353,150.7301,158.8374,150.5926,NaN,732.1847,698.1545,695.2688,766.7085,NaN,250.5104,237.0709,241.3742,313.8527,NaN,220.4516,193.8589,194.0148,318.2717
53.2212,54.5465,68.1032,67.6316,70.711,71.8265,54.7484,63.8028,112.1617,NaN,151.3775,164.4789,186.502,230.4813,173.2952,225.7767,210.7617,237.9194,NaN,254.9483,260.8995,275.8073,263.1674,283.632,277.8211,291.4816,330.8406,NaN,83.2014,83.5732,76.765,75.5243,71.4652,93.8654,84.9551,101.4092,NaN,125.1165,115.7,110.5413,143.919,102.3663,102.4362,122.1759,124.7491,NaN,110.74,101.3617,114.001,103.3819,138.3607,119.4446,131.7668,120.0839,NaN,186.1483,120.9379,140.7329,138.7617,NaN,563.1892,568.9112,507.5781,605.3035,NaN,128.1435,149.1469,157.3155,149.0866,NaN,725.0387,693.2238,685.5946,756.0577,NaN,250.6386,236.4096,242.6279,310.6371,NaN,220.5996,195.045,192.7774,317.7275
59.6933,53.8423,65.8087,66.6179,66.5895,67.4402,55.9909,62.891,103.275,NaN,157.1538,163.1075,184.0152,231.7056,173.8751,225.6214,207.2971,232.9789,NaN,251.29,256.9168,271.1886,262.0113,280.2033,271.7046,289.0724,322.4832,NaN,81.8707,86.6375,79.9068,75.0165,69.3903,90.5881,80.9742,99.6523,NaN,125.2572,117.4195,113.5841,145.097,102.5548,102.3847,124.04,124.1268,NaN,113.1227,103.1343,113.9843,99.2918,134.8411,115.5768,127.3224,123.249,NaN,183.6017,119.5226,139.6025,139.5342,NaN,558.9473,560.8422,508.1916,599.8531,NaN,128.18,147.6025,156.1292,148.3782,NaN,714.9121,688.5702,680.5691,750.9917,NaN,253.1645,234.7874,243.8148,309.9961,NaN,222.3566,190.2141,191.115,313.7396
66.1726,51.3999,63.6696,65.0609,64.537,67.7164,53.7121,59.8658,108.9792,NaN,159.5675,163.6641,182.2285,231.5899,172.321,225.8165,202.5504,229.3841,NaN,251.1676,258.3859,268.4072,265.7308,278.111,272.4387,287.3731,319.71,NaN,81.9459,84.0239,81.376,75.3065,71.0907,90.861,83.4218,96.6189,NaN,123.7409,115.1117,112.0769,145.0516,101.246,104.4443,122.556,120.6829,NaN,114.194,101.133,107.9676,100.7502,134.7032,115.181,129.7439,116.4493,NaN,179.0536,117.8684,138.516,137.0323,NaN,554.6226,558.3327,503.4504,589.807,NaN,128.3923,147.1757,155.4658,146.3063,NaN,707.1617,683.9468,675.6525,743.9707,NaN,251.0079,232.3388,239.2743,309.7464,NaN,218.1395,186.1969,189.5465,308.5258
