,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
20.7894,6.5693,10.2605,9.6017,9.6783,9.3759,7.2307,6.9756,11.8421,NaN,99.635,104.4233,118.9244,146.7935,94.856,128.0134,109.6985,104.7145,NaN,180.8396,218.5447,236.9904,230.7109,226.759,199.4165,227.2084,239.9196,NaN,21.4673,33.4036,26.2956,30.3415,28.8492,38.609,25.1488,18.2013,NaN,61.5944,74.8664,96.5611,117.6384,72.4912,89.5439,79.3589,65.0581,NaN,49.5792,26.0564,28.481,27.4801,29.1174,26.9491,19.761,12.0515,NaN,58.0403,29.4172,43.2915,35.0712,NaN,218.4836,261.2525,230.9754,254.29,NaN,53.8447,53.395,60.662,40.4335,NaN,297.7321,285.0626,303.2279,316.3728,NaN,127.1836,130.9519,108.8887,143.0543,NaN,66.9226,47.3921,53.5525,66.5114
27.2509,5.4125,8.7864,9.0397,8.6169,8.696,5.4122,7.2107,10.7531,NaN,99.2101,104.4629,120.656,147.1531,95.1612,131.3984,110.9459,103.7867,NaN,187.0178,223.7395,242.1993,234.8647,232.2303,207.7281,230.6651,242.3171,NaN,21.6736,32.3981,25.6846,30.0696,28.1898,38.4393,25.1517,17.1619,NaN,61.9454,77.0564,98.2095,119.7504,73.0934,88.9967,81.372,66.4646,NaN,49.8196,25.7919,28.7094,30.6446,28.6775,28.4739,21.0551,10.2153,NaN,60.2466,30.2516,44.6771,35.5807,NaN,226.8726,267.0032,236.465,261.1455,NaN,54.2568,54.7442,62.3828,42.5012,NaN,306.7417,299.547,313.5395,329.1086,NaN,128.8049,134.4773,111.3658,143.7207,NaN,68.9063,47.7756,54.2078,68.7038
33.7135,5.2448,6.8161,8.3727,8.7372,8.0296,5.3625,6.2794,8.6752,NaN,98.5365,104.0026,119.7352,147.65,95.1629,132.6328,109.6842,100.8055,NaN,193.1118,226.2382,244.5939,236.5222,234.0747,212.7671,229.9916,243.8694,NaN,22.7969,30.6695,24.5587,29.6969,28.0726,39.4089,25.401,17.8928,NaN,61.6861,77.0041,98.4253,120.6826,73.6216,89.3289,82.1901,67.1837,NaN,48.0942,24.8507,29.0718,28.0368,27.3251,27.9518,21.5063,10.903,NaN,60.3591,30.5535,45.0577,35.5864,NaN,229.82,271.7947,238.5394,265.7126,NaN,54.927,55.2046,60.6528,41.2873,NaN,314.8813,303.2834,317.964,334.2996,NaN,131.2485,135.4714,112.9508,145.6128,NaN,68.9336,49.1174,55.717,68.2573
40.282,2.5798,5.5726,5.7224,5.8663,7.0578,3.363,2.7181,7.508,NaN,56.0671,73.0358,79.9,91.244,67.5398,87.1554,75.5602,66.4469,NaN,112.3721,133.9337,148.6518,140.0471,142.1081,146.5041,135.2646,146.2224,NaN,12.816,17.2741,17.552,22.1032,19.1676,26.2099,16.986,10.3102,NaN,36.9697,48.1518,55.2459,66.0859,49.3756,54.8985,49.2216,42.067,NaN,39.8745,19.6224,22.5419,24.0563,41.4617,23.5281,12.0655,6.5791,NaN,59.3235,29.822,42.9285,34.2686,NaN,224.9909,265.6357,247.4455,261.2783,NaN,54.3036,53.195,61.0376,41.5097,NaN,293.7211,296.6843,306.3479,327.1773,NaN,129.8009,129.897,113.1771,146.8776,NaN,68.0809,46.6739,54.9494,68.3515
46.7469,3.7648,5.9635,6.3706,5.688,5.7719,4.7293,4.4675,8.4162,NaN,48.7805,64.0288,70.8366,82.4261,60.8037,78.9747,66.7194,59.9872,NaN,100.885,120.7315,134.0915,126.7059,128.4694,132.3739,122.5755,132.3971,NaN,12.9229,18.6404,19.6092,22.0782,19.3015,24.4764,17.5012,11.9553,NaN,33.556,44.6323,51.3812,61.7432,45.3571,51.7629,45.6291,38.3631,NaN,41.596,19.9564,21.8759,23.6856,36.9993,23.4954,15.7556,8.9889,NaN,61.2195,31.1633,45.3818,36.4604,NaN,233.1248,273.8462,253.5822,266.7556,NaN,55.7489,54.1174,63.3589,43.3298,NaN,301.08,305.7761,315.4239,337.5129,NaN,131.6638,132.5363,115.4869,147.0511,NaN,70.1407,47.4208,56.9763,69.0669
53.2212,3.8148,5.6337,6.2483,6.1681,6.7978,4.2087,3.0665,10.344,NaN,46.2067,59.4,66.4496,77.94,57.515,73.7097,62.628,57.4625,NaN,97.3411,116.9259,129.8548,123.1557,125.21,129.1567,118.5871,128.0449,NaN,12.383,19.1431,19.3388,21.2958,17.967,23.117,15.6247,11.4651,NaN,34.179,44.2219,50.2917,59.753,43.7049,49.7419,44.6682,37.0362,NaN,44.3258,20.754,21.9337,23.5527,33.3143,23.6355,15.4788,9.0749,NaN,61.7841,31.9846,46.056,36.8619,NaN,236.2574,276.701,257.5915,271.3555,NaN,56.7796,55.4376,63.5611,43.2431,NaN,307.6605,309.3679,320.183,341.8976,NaN,134.9567,134.9829,118.6496,149.2339,NaN,70.6697,50.2534,57.5042,70.5958
59.6933,3.2357,4.4218,5.8613,5.338,5.4568,3.6384,3.4537,3.9585,NaN,43.9242,57.3081,62.1796,75.7436,56.2811,71.3346,59.4486,53.6205,NaN,95.3825,114.1139,126.5712,119.8812,123.0257,125.9292,115.5967,124.8423,NaN,11.3331,17.5986,16.6673,18.7531,16.8644,20.9551,14.688,10.2305,NaN,31.7981,42.8531,47.9735,57.9152,40.417,47.048,42.781,35.3901,NaN,45.9528,20.3603,22.4252,22.236,31.76,20.3331,12.7661,7.1875,NaN,62.5192,32.0724,45.73,36.3067,NaN,236.2099,277.7523,258.1442,272.9105,NaN,57.0215,55.3706,62.8978,42.0803,NaN,315.1707,310.0975,320.9562,342.6587,NaN,133.2904,134.2103,117.4019,148.2508,NaN,70.1174,47.9864,56.2181,69.357
66.1726,3.1833,4.6136,5.4913,5.7598,4.9331,2.7884,3.5096,8.52,NaN,43.6889,55.348,60.6261,74.6563,54.1695,68.8453,57.4245,52.9232,NaN,95.5344,113.8009,125.2248,119.6211,122.5106,126.1226,115.2641,123.82,NaN,11.9327,17.6696,18.4272,19.7025,17.3448,21.7631,15.1623,9.1593,NaN,32.8835,41.6359,48.2317,57.9929,41.0707,46.2465,42.7952,35.2189,NaN,44.3615,23.3737,21.4151,22.1782,31.2788,21.2168,14.9856,7.1206,NaN,62.2385,32.0743,46.5018,37.2444,NaN,238.9008,279.0816,260.0419,275.4308,NaN,57.3206,55.1964,64.0655,43.3205,NaN,321.1942,311.2997,322.6686,344.0407,NaN,135.2382,136.4254,118.3069,148.7097,NaN,70.8467,48.1291,58.4323,70.5671
,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
