0,27.5,0.0625,0.1712,0.2566,0.4534,0.5523,0.6742,0.493,0.0637,0.1816,0.2891,0.4768,0.5745,0.6401,0.6441,0.3002,0.4551,0.4304,0.2167,0.3184,0.3316,0.2501,0.3717,0.3578,0.2126,0.3073,0.3154,0.2584,0.3802,0.3603,0.1832,0.2713,0.2765,0.2187,0.3269,0.3208,0.1608,0.2686,0.2727,0.067,0.0722,0.0625,0.0644,0.0583,0.0625,0.0658,0.0806,0.0625,0.062,0.0657,0.4347
119.932,27.8,0.0617,0.1781,0.2652,0.4878,0.564,0.6946,0.7925,0.0631,0.1871,0.2981,0.4893,0.5929,0.6676,0.7789,0.4023,0.6128,0.5469,0.2962,0.4257,0.4444,0.3656,0.5106,0.4887,0.2949,0.4171,0.4284,0.3674,0.5482,0.4851,0.2733,0.3926,0.4027,0.347,0.4906,0.4738,0.2427,0.3963,0.3997,0.0671,0.0727,0.0641,0.0637,0.0601,0.063,0.0653,0.07,0.0635,0.062,0.0637,0.3497
239.915,27.6,0.0618,0.1789,0.2657,0.4956,0.5677,0.6995,0.9906,0.0633,0.1893,0.2994,0.4926,0.5966,0.6738,1.031,0.4648,0.7125,0.6153,0.3481,0.4925,0.5181,0.4323,0.5901,0.5633,0.3467,0.4849,0.4976,0.4314,0.6327,0.5576,0.3204,0.4573,0.4755,0.4189,0.5781,0.5572,0.2942,0.4705,0.4718,0.0677,0.0731,0.0657,0.0638,0.0608,0.0638,0.065,0.0702,0.0644,0.0619,0.064,0.5982
359.9,27.7,0.0619,0.1788,0.2657,0.4962,0.5684,0.6996,1.1523,0.0633,0.1916,0.3,0.4924,0.601,0.6746,1.0733,0.5138,0.7858,0.6741,0.3854,0.5444,0.5697,0.4814,0.65,0.6198,0.3845,0.5369,0.5502,0.4791,0.6945,0.6126,0.3574,0.5094,0.5289,0.4696,0.6422,0.6166,0.3313,0.5247,0.5244,0.068,0.0759,0.0673,0.064,0.0601,0.0641,0.0639,0.0704,0.0653,0.0616,0.0639,0.466
479.896,27.6,0.062,0.1782,0.2662,0.4959,0.5688,0.6996,1.2829,0.0633,0.1909,0.3,0.492,0.6005,0.6751,1.1355,0.5533,0.8428,0.7246,0.4159,0.5868,0.6115,0.5207,0.6983,0.6666,0.414,0.5789,0.5909,0.5169,0.747,0.6578,0.3895,0.5492,0.5699,0.5096,0.691,0.6651,0.3605,0.5676,0.5684,0.0682,0.0741,0.0686,0.0637,0.0603,0.0643,0.0642,0.0718,0.0663,0.062,0.0641,0.0831
